"cliente","tipo_monitoramento","cliente_chave","usuario_responsavel","razao_social","rede","associacao","desc_associacao"
104439,G,N,172650,MAESAN MUNDO DOS BRINQUEDOS SUZANO LTDA,,29,RI HAPPY / PBKIDS
105176,G,N,172650,NINO E NINA COMERCIO DE BRINQUEDOS LTDA,,29,RI HAPPY / PBKIDS
107008,G,N,172650,RI AL BRINQUEDOS E ARTIGOS RECREATIVOS E INFANTIS LTDA,,29,RI HAPPY / PBKIDS
107519,G,N,172650,J M S LUNARDI,,29,RI HAPPY / PBKIDS
112425,G,N,172650,VALE TOYS&FUN COMERCIO DE BRINQUEDOS LTDA.,,29,RI HAPPY / PBKIDS
112859,G,N,172650,BLC COMERCIO DE BRINQUEDOS LTDA,,29,RI HAPPY / PBKIDS
112865,G,N,172650,DMT COMERCIO DE BRINQUEDOS LTDA,,29,RI HAPPY / PBKIDS
114488,G,N,172650,MAKOTO COMERCIO DE BRINQUEDOS LTDA,,29,RI HAPPY / PBKIDS
118545,G,N,172650,R WAGNER ANDRADA MELO LIMITADA - EPP,,29,RI HAPPY / PBKIDS
118852,G,N,172650,TANGARA LUDIQUE LTDA,,29,RI HAPPY / PBKIDS
123821,G,N,172650,BRINQUE COMERCIO DE BRINQUEDOS E ARTIGOS RECREATIVOS LTDA,,29,RI HAPPY / PBKIDS
123824,G,N,172650,PARAUAPEBAS KIDS COMERCIO DE BRINQUEDOS LTDA,,29,RI HAPPY / PBKIDS
131990,G,N,172650,ALEGRIA BRINQUEDOS LTDA,,29,RI HAPPY / PBKIDS
132250,G,N,172650,MUNDO BABY COMERCIO DE BRINQUEDOS LTDA,,29,RI HAPPY / PBKIDS
133116,G,N,172650,LDI COMERCIO DE BRINQUEDOS LTDA,,29,RI HAPPY / PBKIDS
175543,G,N,172650,MACAE SMART COMERCIO DE BRINQUEDOS LTDA - LOJA 6124,,29,RI HAPPY / PBKIDS
178948,G,N,172650,CASCAVEL BRINQUEDOS LTDA,,29,RI HAPPY / PBKIDS
194375,G,N,172650,LSTOYS COMERCIO DE BRINQUEDOS E ARTIGOS RECREATIVOS LTDA,,29,RI HAPPY / PBKIDS
194593,G,N,172650,MUNDO ENCANTADO DE ALICE BRINQUEDOS LTDA,,29,RI HAPPY / PBKIDS
206585,G,N,172650,CAMPANA ALBONETTE COMERCIO DE BRINQUEDOS LTDA,,29,RI HAPPY / PBKIDS
551803,G,N,172650,L5 COMERCIO DE BRINQUEDOS LTDA,,29,RI HAPPY / PBKIDS
567105,G,N,172650,VOOLIVRE COMERCIO DE BRINQUEDOS LTDA,,29,RI HAPPY / PBKIDS
569817,G,N,172650,RAIA DROGASIL S/A,569817,,
571651,G,N,172650,VENANCIO PRODUTOS FARMACEUTICOS LTDA,892635,,
608007,G,N,172650,WT ALBUQUERQUE COMERCIO LTDA,,29,RI HAPPY / PBKIDS
611855,G,N,172650,TRIUNFO BRINQUEDOS LTDA,,29,RI HAPPY / PBKIDS
612558,G,S,172650,RI HAPPY BRINQUEDOS S.A.,612558,29,RI HAPPY / PBKIDS
647607,G,N,172650,LRV NORTE BRINQUEDOS LTDA,,29,RI HAPPY / PBKIDS
658087,G,N,172650,STREPULIA COMERCIO DE PRODUTOS IN FANTIS LTDA,,29,RI HAPPY / PBKIDS
684020,G,N,172650,DAMARES CRISTIANE DI PIETRO BELTRAME EIRELI,,29,RI HAPPY / PBKIDS
738067,G,N,172650,AGF COMERCIO DE BRINQUEDOS LTDA,,29,RI HAPPY / PBKIDS
749020,G,N,172650,DUFRY DO BRASIL DUTY FREE SHOP LTDA.,,,
752129,G,N,172650,TOYS COMERCIO DE BRINQUEDOS LTDA,,29,RI HAPPY / PBKIDS
