"cliente","tipo_monitoramento","cliente_chave","usuario_responsavel","razao_social","rede","associacao","observacao"
890569,G,N,172650,BTV COMERCIO DE BRINQUEDOS INFANTIS EIRELI,,29,
890619,G,N,172650,PBK BABY BRINQUEDOS LTDA,,29,
890631,G,N,172650,MLB3 COMERCIO DE BRINQUEDOS LTDA,,29,
890676,G,N,172650,UBERABA BRINQUEDOS LTDA,,29,
890824,G,N,172650,JOLI COMERCIO DE BRINQUEDOS LTDA,,29,
890844,G,N,172650,BLESSI COMERCIO DE BRINQUEDOS - EIRELI - EPP,,29,
890852,G,N,172650, AGM COMERCIO DE BRINQUEDOS EIRELI - ME,890852,29,
890859,G,N,172650,PLAY KIDS COMERCIO DE BRINQUEDOS LTDA,,29,
890862,G,N,172650,MORAES BRINQUEDOS LTDA - EPP,,29,
890863,G,N,172650,MARVIN BRINQUEDOS LTDA.,,29,
890889,G,N,172650,MUNDO DOS BRINQUEDOS LTDA EPP,,29,
890932,G,N,172650,LOFT BRINQUEDOS LTDA,,29,
893054,G,N,172650,COMERCIAL RIO JORDAO LTDA EPP,,29,
903071,G,N,172650,MAG COMERCIO DE BRINQUEDOS LTDA,,29,
904938,G,N,172650,G A - BRINQUEDOS E ARTIGOS RECREATIVOS E INFANTIS EIRELI - ME,,29,
905104,G,N,172650,E R P COMERCIO DE BRINQUEDOS INFANTIS LTDA,,29,
905502,G,S,172650,LOJAS REDE - COMERCIAL LTDA,905502,,
909426,G,N,172650,KIDS FUN COMERCIO DE BRINQUEDOS EIRELI,,29,
918773,G,S,172650,COM DE MEDIC BRAIR LTDA,865265,,
919433,G,N,172650,BMC 3 COMERCIO DE BRINQUEDOS LTDA,890603,29,
924816,G,N,172650,SB COMERCIO DE BRINQUEDOS LTDA,,29,
939295,G,N,172650,HAPPY CENTER COMERCIO DE BRINQUEDOS LTDA,,29,
973408,G,N,172650,RENATA CLARK CAVALHEIRO LTDA,,29,
980135,G,N,172650,LIBRA COMERCIO DE ARTIGOS E ACESSORIOS LTDA,,29,
983884,G,N,172650,GIGATOYS COMERCIO VAREJISTA DE BRINQUEDOS LTDA,,29,
